id,name,experience,alternate_url,salary from,salary to,key_skills,analysis_field
87792446,Ведущий бухгалтер по учету ТМЦ,От 3 до 6 лет,https://hh.ru/vacancy/87792446,,100000.0,['Нет навыков'],Бухгалтер
82966499,Ведущий бухгалтер на участок расчетов с поставщиками (услуги),От 1 года до 3 лет,https://hh.ru/vacancy/82966499,100000.0,,['Нет навыков'],Бухгалтер
87916606,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87916606,120000.0,,[],Бухгалтер
88596847,Ведущий бухгалтер отдела АР,Нет опыта,https://hh.ru/vacancy/88596847,,,"['SAP', 'Бухгалтерская отчетность']",Бухгалтер
88841779,Бухгалтер/Заместитель главного бухгалтера бюджетного учреждения культуры,От 3 до 6 лет,https://hh.ru/vacancy/88841779,70000.0,80000.0,['Нет навыков'],Бухгалтер
88305304,Chief accountant,От 3 до 6 лет,https://hh.ru/vacancy/88305304,150000.0,150000.0,[],Бухгалтер
88767557,Ведущий бухгалтер по расчетам с персоналом,От 1 года до 3 лет,https://hh.ru/vacancy/88767557,,,['Нет навыков'],Бухгалтер
88835637,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88835637,,,"['Работа с большим объемом информации', 'Расчет заработной платы', '1С: Зарплата и управление персоналом', '1С: Предприятие 8', 'Деловая переписка', 'Бухгалтерский учет', 'Бухгалтерская отчетность', 'Многозадачность', 'Электронный документооборот', 'Расчет зарплаты', 'Работа в режиме многозадачности', 'Пользователь ПК', 'Работа в команде', 'Деловое общение', '1С: Предприятие: Бухгалтерский Учет', 'Расчет НДС', 'Работа с базами данных', 'Согласование договоров', 'Составление отчетности', 'Отчетность в ФСС', 'Отчетность в ПФР', 'Точность и внимательность к деталям', 'Налоги', 'Взаимодействие с государственными контролирующими органами', 'Умение планировать', 'Электронная почта', '1С: Зарплата и кадры', '1С: Управление Торговлей', 'прохождение проверок контролирующих органов']",Бухгалтер
87982109,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87982109,,,"['GAAP', 'SAP', 'Бухгалтерская отчетность', 'Налоговая отчетность', 'Английский язык']",Бухгалтер
88531721,Ведущий бухгалтер по расчетам с персоналом,От 3 до 6 лет,https://hh.ru/vacancy/88531721,,120000.0,['Нет навыков'],Бухгалтер
88730649,"Ведущий бухгалтер (на участок ""Банки"")",От 3 до 6 лет,https://hh.ru/vacancy/88730649,100000.0,,"['Бухгалтерский учет', '1С: Бухгалтерия', 'Налоговая отчетность']",Бухгалтер
88792029,Главный бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88792029,100000.0,150000.0,[],Бухгалтер
88473986,Главный бухгалтер ( в единственном лице ),От 3 до 6 лет,https://hh.ru/vacancy/88473986,100000.0,,"['1С: Предприятие 8', '1С: Бухгалтерия', 'Работа в условиях многозадачности', 'Бухгалтерская отчетность', '1С: Предприятие: Бухгалтерский Учет', '1С: Документооборот', 'Эквайринг']",Бухгалтер
88705091,Ведущий бухгалтер,Более 6 лет,https://hh.ru/vacancy/88705091,,,[],Бухгалтер
88810575,Ведущий бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88810575,,126500.0,[],Бухгалтер
88057165,Главный бухгалтер в единственном числе,От 1 года до 3 лет,https://hh.ru/vacancy/88057165,120000.0,150000.0,"['Расчет заработной платы', 'Учет товаров', 'Первичная документация', '1С: Розница', '1С: Управление Торговлей']",Бухгалтер
88099917,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/88099917,85000.0,,"['1С: Предприятие: Бухгалтерский Учет', 'реализация товаров и услуг', 'прохождение налоговых проверок', 'Расчет заработной платы', 'Кадровое делопроизводство', 'Госюконтракты, работа с ЕИС', 'Налоговая отчетность']",Бухгалтер
87998419,"Бухгалтер / Главный бухгалтер, в Москве",От 3 до 6 лет,https://hh.ru/vacancy/87998419,120000.0,160000.0,"['Бухгалтерский учет', 'ВЭД', 'Импортные операции', 'Первичная бухгалтерская документация', 'Финансовая отчетность']",Бухгалтер
88192364,Старший бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/88192364,,,"['Расчет заработной платы', '1С: Бухгалтерия', '1С: Зарплата и управление персоналом', 'Авансовые отчеты', 'MS Outlook', 'Банк-клиент', 'Internet', 'Первичная документация', 'Пользователь ПК']",Бухгалтер
88783212,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88783212,110000.0,,[],Бухгалтер
88325311,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88325311,120000.0,120000.0,"['Ведение бухгалтерского учета', 'Знание 1С', 'Умение работать в команде', 'Аудит', 'Быстрое принятие решений', 'Умение взаимодействовать']",Бухгалтер
88896466,Главный бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/88896466,32000.0,,[],Бухгалтер
87684181,Ведущий бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/87684181,50000.0,,[],Бухгалтер
87993021,Старший бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/87993021,80000.0,90000.0,"['Пользователь ПК', 'Деловая переписка', 'Работа с оргтехникой', '1С: Предприятие 8', 'Первичные документы', '1С: Документооборот', 'Ведение деловой переписки', 'Умение работать с большим объемом информации', 'Российские стандарты бухгалтерского учета']",Бухгалтер
87407667,Главный бухгалтер,От 1 года до 3 лет,https://hh.ru/vacancy/87407667,130000.0,,"['Бухгалтерская отчетность', 'Налоговая отчетность', 'Бухгалтерский учет', '1С: Предприятие 8']",Бухгалтер
87815797,Ведущий бухгалтер (первичная документация / учет материалов),От 3 до 6 лет,https://hh.ru/vacancy/87815797,100000.0,100000.0,"['Списание ТМЦ', 'Первичная документация', 'Расчет затрат', 'Первичная бухгалтерская документация']",Бухгалтер
84853180,Главный (ведущий) бухгалтер,От 3 до 6 лет,https://hh.ru/vacancy/84853180,140000.0,,"['1С: 8,3', 'Бухгалтерская отчетность', 'Налоговая отчетность', 'Кадровая отчетность по законодательству', 'Расчет налогов', 'Кассовые операции', 'Расчет заработной платы', 'Упрощенная Система Налогообложения', 'Основная система налогообложения']",Бухгалтер
88754611,Заместитель главного бухгалтера,От 3 до 6 лет,https://hh.ru/vacancy/88754611,90000.0,,"['Отчетность в ФСС', 'Отчетность в ПФР', 'Расчет заработной платы', 'Бухгалтерская отчетность']",Бухгалтер
87978994,Главный бухгалтер/финансист,От 3 до 6 лет,https://hh.ru/vacancy/87978994,150000.0,,[],Бухгалтер
88036960,Главный бухгалтер,Более 6 лет,https://hh.ru/vacancy/88036960,250000.0,250000.0,"['Бухгалтерская отчетность', 'Бухгалтерский учет', '1С: Предприятие 8', 'Кассовые операции', 'Эксплуатация гостиничного комплекса', 'ТМЦ', 'прохождение налоговых проверок', 'Инвентаризация', 'Opera', 'Возмещение НДС', 'Раздельный учет по НДС', 'ПБУ 18', 'Основные средства', 'Учет в строительстве', 'КС-2', 'Разработка методологии бухгалтерского учета', 'ФСБУ', 'Учет ОС', 'Строительство']",Бухгалтер
